Batsmen				Runs		Balls		SR		4s		6s
Jos Buttler	,	b Sandeep Sharma	,	124	,	64	,	193.75	,	11	,	8
Yashasvi Jaiswal	,	lbw Rashid Khan	,	12	,	13	,	92.3	,	2	,	0
Sanju Samson	,	c Abdul Samad b Vijay Shankar	,	48	,	33	,	145.45	,	4	,	2
Riyan Parag	,	NOT OUT	,	15	,	8	,	187.5	,	0	,	1
David Miller	,	NOT OUT	,	7	,	3	,	233.33	,	0	,	1
Manish Pandey	,	b Mustafizur Rahman	,	31	,	20	,	155	,	3	,	2
Jonny Bairstow	,	c Anuj Rawat b Rahul Tewatia	,	30	,	21	,	142.85	,	4	,	1
Kane Williamson	,	c Chris Morris b Kartik Tyagi	,	20	,	21	,	95.23	,	1	,	0
Vijay Shankar	,	c David Miller b Chris Morris	,	8	,	8	,	100	,	1	,	0
Kedar Jadhav	,	b Chris Morris	,	19	,	19	,	100	,	0	,	1
Mohammad Nabi	,	c Anuj Rawat b Mustafizur Rahman	,	17	,	5	,	340	,	1	,	2
Abdul Samad	,	c Anuj Rawat b Chris Morris	,	10	,	8	,	125	,	0	,	1
Rashid Khan	,	c Chris Morris b Mustafizur Rahman	,	0	,	2	,	0	,	0	,	0
Bhuvneshwar Kumar	,	NOT OUT	,	14	,	10	,	140	,	2	,	0
Sandeep Sharma	,	NOT OUT	,	8	,	6	,	133.33	,	1	,	0
