Bowler		O		R		W		Econ		Dots				
Bhuvneshwar Kumar	,	4	,	37	,	0	,	9.25	,	7	,	0	,	FALSE
Sandeep Sharma	,	4	,	50	,	1	,	12.5	,	7	,	0	,	FALSE
Rashid Khan	,	4	,	24	,	1	,	6	,	10	,	0	,	FALSE
Khaleel Ahmed	,	4	,	41	,	0	,	10.25	,	8	,	0	,	FALSE
Vijay Shankar	,	3	,	42	,	1	,	14	,	4	,	0	,	FALSE
Mohammad Nabi	,	1	,	21	,	0	,	21	,	1	,	0	,	FALSE
Kartik Tyagi	,	4	,	32	,	1	,	8	,	13	,	0	,	FALSE
Mustafizur Rahman	,	4	,	20	,	3	,	5	,	12	,	0	,	FALSE
Chetan Sakariya	,	4	,	38	,	0	,	9.5	,	7	,	0	,	FALSE
Chris Morris	,	4	,	29	,	3	,	7.25	,	8	,	0	,	FALSE
Rahul Tewatia	,	4	,	45	,	1	,	11.25	,	2	,	0	,	FALSE
