Batsmen				Runs		Balls		SR		4s		6s
Ruturaj Gaikwad	,	c Pat Cummins b Varun Chakaravarthy	,	64	,	42	,	152.38	,	6	,	4
Faf du Plessis	,	NOT OUT	,	95	,	60	,	158.33	,	9	,	4
Moeen Ali	,	st Dinesh Karthik b Sunil Narine	,	25	,	12	,	208.33	,	2	,	2
MS Dhoni	,	c Eoin Morgan b Andre Russell	,	17	,	8	,	212.5	,	2	,	1
Ravindra Jadeja	,	NOT OUT	,	6	,	1	,	600	,	0	,	1
Nitish Rana	,	c MS Dhoni b Deepak Chahar	,	9	,	12	,	75	,	2	,	0
Shubman Gill	,	c Lungi Ngidi b Deepak Chahar	,	0	,	1	,	0	,	0	,	0
Rahul Tripathi	,	c MS Dhoni b Lungi Ngidi	,	8	,	9	,	88.88	,	1	,	0
Eoin Morgan	,	c MS Dhoni b Deepak Chahar	,	7	,	7	,	100	,	1	,	0
Sunil Narine	,	c Ravindra Jadeja b Deepak Chahar	,	4	,	3	,	133.33	,	1	,	0
Dinesh Karthik	,	lbw Lungi Ngidi	,	40	,	24	,	166.66	,	4	,	2
Andre Russell	,	b Sam Curran	,	54	,	22	,	245.45	,	3	,	6
Pat Cummins	,	NOT OUT	,	66	,	34	,	194.11	,	4	,	6
Kamlesh Nagarkoti	,	c Faf du Plessis b Lungi Ngidi	,	0	,	2	,	0	,	0	,	0
Varun Chakaravarthy	,	run out (Deepak Chahar/Sam Curran)	,	0	,	1	,	0	,	0	,	0
Prasidh Krishna	,	run out (Deepak Chahar/Shardul Thakur)	,	0	,	1	,	0	,	0	,	0
