Bowler		O		R		W		Econ		Dots				
Varun Chakaravarthy	,	4	,	27	,	1	,	6.75	,	8	,	0	,	FALSE
Pat Cummins	,	4	,	58	,	0	,	14.5	,	5	,	0	,	FALSE
Sunil Narine	,	4	,	34	,	1	,	8.5	,	10	,	0	,	FALSE
Prasidh Krishna	,	4	,	49	,	0	,	12.25	,	10	,	0	,	FALSE
Andre Russell	,	2	,	27	,	1	,	13.5	,	4	,	0	,	FALSE
Kamlesh Nagarkoti	,	2	,	25	,	0	,	12.5	,	2	,	0	,	FALSE
Deepak Chahar	,	4	,	29	,	4	,	7.25	,	14	,	0	,	FALSE
Sam Curran	,	4	,	58	,	1	,	14.5	,	10	,	0	,	FALSE
Lungi Ngidi	,	4	,	28	,	3	,	7	,	15	,	0	,	FALSE
Ravindra Jadeja	,	4	,	33	,	0	,	8.25	,	7	,	0	,	FALSE
Shardul Thakur	,	3.1	,	48	,	0	,	15.15	,	5	,	0	,	FALSE
