Batsmen				Runs		Balls		SR		4s		6s
Ruturaj Gaikwad	,	c Shikhar Dhawan b Chris Woakes	,	5	,	8	,	62.5	,	1	,	0
Faf du Plessis	,	lbw Avesh Khan	,	0	,	3	,	0	,	0	,	0
Moeen Ali	,	c Shikhar Dhawan b Ravichandran Ashwin	,	36	,	24	,	150	,	4	,	2
Suresh Raina	,	run out (Chris Woakes/Rishabh Pant)	,	54	,	36	,	150	,	3	,	4
Ambati Rayudu	,	c Shikhar Dhawan b Tom Curran	,	23	,	16	,	143.75	,	1	,	2
Ravindra Jadeja	,	NOT OUT	,	26	,	17	,	152.94	,	3	,	0
MS Dhoni	,	b Avesh Khan	,	0	,	2	,	0	,	0	,	0
Sam Curran	,	b Chris Woakes	,	34	,	15	,	226.66	,	4	,	2
Prithvi Shaw	,	c Moeen Ali b Dwayne Bravo	,	72	,	38	,	189.47	,	9	,	3
Shikhar Dhawan	,	lbw Shardul Thakur	,	85	,	54	,	157.4	,	10	,	2
Rishabh Pant	,	NOT OUT	,	15	,	12	,	125	,	2	,	0
Marcus Stoinis	,	c Sam Curran b Shardul Thakur	,	14	,	9	,	155.55	,	3	,	0
Shimron Hetmyer	,	NOT OUT	,	0	,	0	,	0	,	0	,	0
