Bowler		O		R		W		Econ		Dots		m		h
Deepak Chahar	,	4	,	36	,	0	,	9	,	8	,	0	,	FALSE
Sam Curran	,	2	,	24	,	0	,	12	,	2	,	0	,	FALSE
Shardul Thakur	,	3.4	,	53	,	2	,	14.45	,	6	,	0	,	FALSE
Ravindra Jadeja	,	2	,	16	,	0	,	8	,	2	,	0	,	FALSE
Moeen Ali	,	3	,	33	,	0	,	11	,	2	,	0	,	FALSE
Dwayne Bravo	,	4	,	28	,	1	,	7	,	7	,	0	,	FALSE
Chris Woakes	,	3	,	18	,	2	,	6	,	11	,	0	,	FALSE
Avesh Khan	,	4	,	23	,	2	,	5.75	,	11	,	0	,	FALSE
Ravichandran Ashwin	,	4	,	47	,	1	,	11.75	,	9	,	0	,	FALSE
Tom Curran	,	4	,	40	,	1	,	10	,	7	,	0	,	FALSE
Amit Mishra	,	3	,	27	,	0	,	9	,	4	,	0	,	FALSE
Marcus Stoinis	,	2	,	26	,	0	,	13	,	4	,	0	,	FALSE
