Batsmen				Runs		Balls		SR		4s		6s
Prabhsimran Singh	,	c Steve Smith b Kagiso Rabada	,	12	,	16	,	75	,	0	,	1
Mayank Agarwal	,	NOT OUT	,	99	,	58	,	170.68	,	8	,	4
Chris Gayle	,	b Kagiso Rabada	,	13	,	9	,	144.44	,	1	,	1
Dawid Malan	,	b Axar Patel	,	26	,	26	,	100	,	1	,	1
Deepak Hooda	,	run out (Shimron Hetmyer/Axar Patel)	,	1	,	1	,	100	,	0	,	0
Shahrukh Khan	,	c Shimron Hetmyer b Avesh Khan	,	4	,	5	,	80	,	0	,	0
Chris Jordan	,	c Lalit Yadav b Kagiso Rabada	,	2	,	3	,	66.66	,	0	,	0
Harpreet Brar	,	NOT OUT	,	4	,	2	,	200	,	1	,	0
Prithvi Shaw	,	b Harpreet Brar	,	39	,	22	,	177.27	,	3	,	3
Shikhar Dhawan	,	NOT OUT	,	69	,	47	,	146.8	,	6	,	2
Steve Smith	,	c Dawid Malan b Riley Meredith	,	24	,	22	,	109.09	,	1	,	0
Rishabh Pant	,	c Mayank Agarwal b Chris Jordan	,	14	,	11	,	127.27	,	1	,	1
Shimron Hetmyer	,	NOT OUT	,	16	,	4	,	400	,	1	,	2
