Bowler		O		R		W		Econ		Dots				
Ishant Sharma	,	4	,	37	,	0	,	9.25	,	9	,	1	,	FALSE
Marcus Stoinis	,	1	,	6	,	0	,	6	,	0	,	0	,	FALSE
Kagiso Rabada	,	4	,	36	,	3	,	9	,	6	,	0	,	FALSE
Avesh Khan	,	4	,	39	,	1	,	9.75	,	8	,	0	,	FALSE
Lalit Yadav	,	3	,	25	,	0	,	8.33	,	2	,	0	,	FALSE
Axar Patel	,	4	,	21	,	1	,	5.25	,	11	,	0	,	FALSE
Riley Meredith	,	3.4	,	35	,	1	,	9.54	,	7	,	0	,	FALSE
Mohammad Shami	,	3	,	37	,	0	,	12.33	,	6	,	0	,	FALSE
Ravi Bishnoi	,	4	,	42	,	0	,	10.5	,	7	,	0	,	FALSE
Chris Jordan	,	2	,	21	,	1	,	10.5	,	4	,	0	,	FALSE
Harpreet Brar	,	3	,	19	,	1	,	6.33	,	4	,	0	,	FALSE
Deepak Hooda	,	2	,	11	,	0	,	5.5	,	3	,	0	,	FALSE
