Bowler	,	O	,	R	,	W	,	Econ	,	Dots	,		,	
Deepak Chahar	,	4	,	35	,	1	,	8.75	,	7	,	0	,	FALSE
Josh Hazlewood	,	4	,	34	,	0	,	8.5	,	7	,	0	,	FALSE
Shardul Thakur	,	4	,	29	,	2	,	7.25	,	9	,	0	,	FALSE
Ravindra Jadeja	,	4	,	31	,	0	,	7.75	,	7	,	0	,	FALSE
Dwayne Bravo	,	4	,	24	,	3	,	6	,	10	,	0	,	FALSE
Mohammed Siraj	,	3	,	23	,	0	,	7.66	,	5	,	0	,	FALSE
Navdeep Saini	,	2	,	25	,	0	,	12.5	,	4	,	0	,	FALSE
Wanindu Hasaranga	,	4	,	40	,	0	,	10	,	7	,	0	,	FALSE
Harshal Patel	,	3.1	,	25	,	2	,	7.89	,	7	,	0	,	FALSE
Yuzvendra Chahal	,	4	,	26	,	1	,	6.5	,	10	,	0	,	FALSE
Glenn Maxwell	,	2	,	17	,	1	,	8.5	,	3	,	0	,	FALSE
