Batsmen	,		,	Runs	,	Balls	,	SR	,	4s	,	6s
Virat Kohli	,	c Ravindra Jadeja b Dwayne Bravo	,	53	,	41	,	129.26	,	6	,	1
Devdutt Padikkal	,	c Ambati Rayudu b Shardul Thakur	,	70	,	50	,	140	,	5	,	3
AB de Villiers	,	c Suresh Raina b Shardul Thakur	,	12	,	11	,	109.09	,	0	,	1
Glenn Maxwell	,	c Ravindra Jadeja b Dwayne Bravo	,	11	,	9	,	122.22	,	0	,	1
Tim David	,	c Suresh Raina b Deepak Chahar	,	1	,	3	,	33.33	,	0	,	0
Harshal Patel	,	c Suresh Raina b Dwayne Bravo	,	3	,	5	,	60	,	0	,	0
Wanindu Hasaranga	,	NOT OUT	,	1	,	1	,	100	,	0	,	0
Ruturaj Gaikwad	,	c Virat Kohli b Yuzvendra Chahal	,	38	,	26	,	146.15	,	4	,	1
Faf du Plessis	,	c Navdeep Saini b Glenn Maxwell	,	31	,	26	,	119.23	,	2	,	2
Moeen Ali	,	c Virat Kohli b Harshal Patel	,	23	,	18	,	127.77	,	0	,	2
Ambati Rayudu	,	c AB de Villiers b Harshal Patel	,	32	,	22	,	145.45	,	3	,	1
Suresh Raina	,	NOT OUT	,	17	,	10	,	170	,	2	,	1
MS Dhoni	,	NOT OUT	,	11	,	9	,	122.22	,	2	,	0
