Batsmen	,		,	Runs	,	Balls	,	SR	,	4s	,	6s
David Warner	,	c Axar Patel b Anrich Nortje	,	0	,	3	,	0	,	0	,	0
Wriddhiman Saha	,	c Shikhar Dhawan b Kagiso Rabada	,	18	,	17	,	105.88	,	2	,	1
Kane Williamson	,	c Shimron Hetmyer b Axar Patel	,	18	,	26	,	69.23	,	1	,	0
Manish Pandey	,	c & b Kagiso Rabada	,	17	,	16	,	106.25	,	1	,	0
Kedar Jadhav	,	lbw Anrich Nortje	,	3	,	8	,	37.5	,	0	,	0
Abdul Samad	,	c Rishabh Pant b Kagiso Rabada	,	28	,	21	,	133.33	,	2	,	1
Jason Holder	,	c Prithvi Shaw b Axar Patel	,	10	,	9	,	111.11	,	0	,	1
Rashid Khan	,	run out (sub [Steve Smith]/Rishabh Pant)	,	22	,	19	,	115.78	,	2	,	1
Bhuvneshwar Kumar	,	NOT OUT	,	5	,	3	,	166.66	,	1	,	0
Sandeep Sharma	,	run out (Rishabh Pant)	,	0	,	1	,	0	,	0	,	0
Prithvi Shaw	,	c Kane Williamson b Khaleel Ahmed	,	11	,	8	,	137.5	,	2	,	0
Shikhar Dhawan	,	c Abdul Samad b Rashid Khan	,	42	,	37	,	113.51	,	6	,	1
Shreyas Iyer	,	NOT OUT	,	47	,	41	,	114.63	,	2	,	2
Rishabh Pant	,	NOT OUT	,	35	,	21	,	166.66	,	3	,	2
