Bowler	,	O	,	R	,	W	,	Econ	,	Dots	,		,	
Anrich Nortje	,	4	,	12	,	2	,	3	,	14	,	0	,	FALSE
Avesh Khan	,	4	,	27	,	0	,	6.75	,	13	,	0	,	FALSE
Axar Patel	,	4	,	21	,	2	,	5.25	,	9	,	0	,	FALSE
Kagiso Rabada	,	4	,	37	,	3	,	9.25	,	13	,	0	,	FALSE
Marcus Stoinis	,	1.1	,	8	,	0	,	6.85	,	1	,	0	,	FALSE
Ravichandran Ashwin	,	2.5	,	22	,	0	,	7.76	,	4	,	0	,	FALSE
Khaleel Ahmed	,	4	,	33	,	1	,	8.25	,	9	,	0	,	FALSE
Bhuvneshwar Kumar	,	3	,	21	,	0	,	7	,	8	,	0	,	FALSE
Jason Holder	,	3.5	,	33	,	0	,	8.6	,	9	,	0	,	FALSE
Rashid Khan	,	4	,	26	,	1	,	6.5	,	9	,	0	,	FALSE
Sandeep Sharma	,	3	,	26	,	0	,	8.66	,	8	,	0	,	FALSE
