Bowler		O		R		W		Econ		Dots				
Ishant Sharma	,	4	,	26	,	1	,	6.5	,	11	,	0	,	FALSE
Kagiso Rabada	,	4	,	38	,	1	,	9.5	,	6	,	0	,	FALSE
Avesh Khan	,	4	,	24	,	1	,	6	,	11	,	0	,	FALSE
Amit Mishra	,	3	,	27	,	1	,	9	,	2	,	0	,	FALSE
Axar Patel	,	4	,	33	,	1	,	8.25	,	5	,	0	,	FALSE
Marcus Stoinis	,	1	,	23	,	0	,	23	,	1	,	0	,	FALSE
Daniel Sams	,	2	,	15	,	0	,	7.5	,	4	,	0	,	FALSE
Mohammed Siraj	,	4	,	44	,	1	,	11	,	5	,	0	,	FALSE
Kyle Jamieson	,	4	,	32	,	1	,	8	,	11	,	0	,	FALSE
Washington Sundar	,	4	,	28	,	0	,	7	,	5	,	0	,	FALSE
Harshal Patel	,	4	,	37	,	2	,	9.25	,	5	,	0	,	FALSE
Yuzvendra Chahal	,	2	,	10	,	0	,	5	,	5	,	0	,	FALSE
