Batsmen				Runs		Balls		SR		4s		6s
David Warner	,	c Ravindra Jadeja b Lungi Ngidi	,	57	,	55	,	103.63	,	3	,	2
Jonny Bairstow	,	c Deepak Chahar b Sam Curran	,	7	,	5	,	140	,	1	,	0
Manish Pandey	,	c Faf du Plessis b Lungi Ngidi	,	61	,	46	,	132.6	,	5	,	1
Kane Williamson	,	NOT OUT	,	26	,	10	,	260	,	4	,	1
Kedar Jadhav	,	NOT OUT	,	12	,	4	,	300	,	1	,	1
Ruturaj Gaikwad	,	b Rashid Khan	,	75	,	44	,	170.45	,	12	,	0
Faf du Plessis	,	lbw Rashid Khan	,	56	,	38	,	147.36	,	6	,	1
Moeen Ali	,	c Kedar Jadhav b Rashid Khan	,	15	,	8	,	187.5	,	3	,	0
Ravindra Jadeja	,	NOT OUT	,	7	,	6	,	116.66	,	1	,	0
Suresh Raina	,	NOT OUT	,	17	,	15	,	113.33	,	3	,	0
