Bowler		O		R		W		Econ		Dots				
Deepak Chahar	,	3	,	21	,	0	,	7	,	7	,	0	,	FALSE
Sam Curran	,	4	,	30	,	1	,	7.5	,	9	,	0	,	FALSE
Shardul Thakur	,	4	,	44	,	0	,	11	,	4	,	0	,	FALSE
Moeen Ali	,	2	,	16	,	0	,	8	,	3	,	0	,	FALSE
Lungi Ngidi	,	4	,	35	,	2	,	8.75	,	7	,	0	,	FALSE
Ravindra Jadeja	,	3	,	23	,	0	,	7.66	,	6	,	0	,	FALSE
Sandeep Sharma	,	3.3	,	24	,	0	,	6.85	,	8	,	0	,	FALSE
Khaleel Ahmed	,	4	,	36	,	0	,	9	,	7	,	0	,	FALSE
Siddarth Kaul	,	4	,	32	,	0	,	8	,	8	,	0	,	FALSE
Jagadeesha Suchith	,	3	,	45	,	0	,	15	,	2	,	0	,	FALSE
Rashid Khan	,	4	,	36	,	3	,	9	,	7	,	0	,	FALSE
