Bowler	,	O	,	R	,	W	,	Econ	,	Dots	,		,	
Mustafizur Rahman	,	4	,	22	,	2	,	5.5	,	6	,	0	,	FALSE
Mahipal Lomror	,	1	,	5	,	0	,	5	,	4	,	0	,	FALSE
Chetan Sakariya	,	4	,	33	,	2	,	8.25	,	7	,	0	,	FALSE
Kartik Tyagi	,	4	,	40	,	1	,	10	,	9	,	0	,	FALSE
Tabraiz Shamsi	,	4	,	34	,	0	,	8.5	,	2	,	0	,	FALSE
Rahul Tewatia	,	3	,	17	,	1	,	5.66	,	6	,	0	,	FALSE
Avesh Khan	,	4	,	29	,	1	,	7.25	,	6	,	0	,	FALSE
Anrich Nortje	,	4	,	18	,	2	,	4.5	,	12	,	0	,	FALSE
Ravichandran Ashwin	,	4	,	20	,	1	,	5	,	14	,	0	,	FALSE
Kagiso Rabada	,	4	,	26	,	1	,	6.5	,	13	,	0	,	FALSE
Axar Patel	,	4	,	27	,	1	,	6.75	,	5	,	0	,	FALSE
