Batsmen	,		,	Runs	,	Balls	,	SR	,	4s	,	6s
Prithvi Shaw	,	c Liam Livingstone b Chetan Sakariya	,	10	,	12	,	83.33	,	0	,	0
Shikhar Dhawan	,	b Kartik Tyagi	,	8	,	8	,	100	,	1	,	0
Shreyas Iyer	,	st Sanju Samson b Rahul Tewatia	,	43	,	32	,	134.37	,	1	,	2
Rishabh Pant	,	b Mustafizur Rahman	,	24	,	24	,	100	,	2	,	0
Shimron Hetmyer	,	c Chetan Sakariya b Mustafizur Rahman	,	28	,	16	,	175	,	5	,	0
Lalit Yadav	,	NOT OUT	,	14	,	15	,	93.33	,	1	,	0
Axar Patel	,	c David Miller b Chetan Sakariya	,	12	,	7	,	171.42	,	0	,	1
Ravichandran Ashwin	,	NOT OUT	,	6	,	6	,	100	,	0	,	0
Liam Livingstone	,	c Rishabh Pant b Avesh Khan	,	1	,	3	,	33.33	,	0	,	0
Yashasvi Jaiswal	,	c Rishabh Pant b Anrich Nortje	,	5	,	4	,	125	,	0	,	0
Sanju Samson	,	NOT OUT	,	70	,	53	,	132.07	,	8	,	1
David Miller	,	st Rishabh Pant b Ravichandran Ashwin	,	7	,	10	,	70	,	0	,	0
Mahipal Lomror	,	c Avesh Khan b Kagiso Rabada	,	19	,	24	,	79.16	,	0	,	1
Riyan Parag	,	b Axar Patel	,	2	,	7	,	28.57	,	0	,	0
Rahul Tewatia	,	c Shimron Hetmyer b Anrich Nortje	,	9	,	15	,	60	,	0	,	0
Tabraiz Shamsi	,	NOT OUT	,	2	,	4	,	50	,	0	,	0
