Bowler		O		R		W		Econ		Dots				
Trent Boult	,	4	,	35	,	2	,	8.75	,	13	,	1	,	FALSE
Adam Milne	,	4	,	21	,	2	,	5.25	,	14	,	0	,	FALSE
Jasprit Bumrah	,	4	,	33	,	2	,	8.25	,	11	,	0	,	FALSE
Kieron Pollard	,	2	,	15	,	0	,	7.5	,	4	,	0	,	FALSE
Rahul Chahar	,	4	,	22	,	0	,	5.5	,	10	,	0	,	FALSE
Krunal Pandya	,	2	,	27	,	0	,	13.5	,	2	,	0	,	FALSE
Deepak Chahar	,	4	,	19	,	2	,	4.75	,	13	,	0	,	FALSE
Josh Hazlewood	,	4	,	34	,	1	,	8.5	,	8	,	0	,	FALSE
Shardul Thakur	,	4	,	29	,	1	,	7.25	,	9	,	0	,	FALSE
Moeen Ali	,	3	,	16	,	0	,	5.33	,	4	,	0	,	FALSE
Dwayne Bravo	,	4	,	25	,	3	,	6.25	,	11	,	0	,	FALSE
Ravindra Jadeja	,	1	,	13	,	0	,	13	,	1	,	0	,	FALSE
