Batsmen				Runs		Balls		SR		4s		6s
Rohit Sharma	,	b Pat Cummins	,	43	,	32	,	134.37	,	3	,	1
Quinton de Kock	,	c Rahul Tripathi b Varun Chakaravarthy	,	2	,	6	,	33.33	,	0	,	0
Suryakumar Yadav	,	c Shubman Gill b Shakib Al Hasan	,	56	,	36	,	155.55	,	7	,	2
Ishan Kishan	,	c Prasidh Krishna b Pat Cummins	,	1	,	3	,	33.33	,	0	,	0
Hardik Pandya	,	c Andre Russell b Prasidh Krishna	,	15	,	17	,	88.23	,	2	,	0
Kieron Pollard	,	c Dinesh Karthik b Andre Russell	,	5	,	8	,	62.5	,	1	,	0
Krunal Pandya	,	c Prasidh Krishna b Andre Russell	,	15	,	9	,	166.66	,	3	,	0
Marco Jansen	,	c Pat Cummins b Andre Russell	,	0	,	1	,	0	,	0	,	0
Rahul Chahar	,	c Shubman Gill b Andre Russell	,	8	,	7	,	114.28	,	0	,	0
Jasprit Bumrah	,	c Shakib Al Hasan b Andre Russell	,	0	,	1	,	0	,	0	,	0
Trent Boult	,	NOT OUT	,	0	,	0	,	0	,	0	,	0
Nitish Rana	,	st Quinton de Kock b Rahul Chahar	,	57	,	47	,	121.27	,	6	,	2
Shubman Gill	,	c Kieron Pollard b Rahul Chahar	,	33	,	24	,	137.5	,	5	,	1
Rahul Tripathi	,	c Quinton de Kock b Rahul Chahar	,	5	,	5	,	100	,	0	,	0
Eoin Morgan	,	c Marco Jansen b Rahul Chahar	,	7	,	7	,	100	,	1	,	0
Shakib Al Hasan	,	c Suryakumar Yadav b Krunal Pandya	,	9	,	9	,	100	,	1	,	0
Dinesh Karthik	,	NOT OUT	,	8	,	11	,	72.72	,	0	,	0
Andre Russell	,	c & b Trent Boult	,	9	,	15	,	60	,	1	,	0
Pat Cummins	,	b Trent Boult	,	0	,	1	,	0	,	0	,	0
Harbhajan Singh	,	NOT OUT	,	2	,	2	,	100	,	0	,	0
