Bowler		O		R		W		Econ		Dots		m		h
Harbhajan Singh	,	2	,	17	,	0	,	8.5	,	6	,	0	,	FALSE
Varun Chakaravarthy	,	4	,	27	,	1	,	6.75	,	9	,	0	,	FALSE
Shakib Al Hasan	,	4	,	23	,	1	,	5.75	,	4	,	0	,	FALSE
Pat Cummins	,	4	,	24	,	2	,	6	,	12	,	0	,	FALSE
Prasidh Krishna	,	4	,	42	,	1	,	10.5	,	8	,	0	,	FALSE
Andre Russell	,	2	,	15	,	5	,	7.5	,	6	,	0	,	FALSE
Trent Boult	,	4	,	27	,	2	,	6.75	,	12	,	0	,	FALSE
Marco Jansen	,	2	,	17	,	0	,	8.5	,	5	,	0	,	FALSE
Jasprit Bumrah	,	4	,	28	,	0	,	7	,	9	,	0	,	FALSE
Krunal Pandya	,	4	,	13	,	1	,	3.25	,	13	,	0	,	FALSE
Kieron Pollard	,	1	,	12	,	0	,	12	,	2	,	0	,	FALSE
Rahul Chahar	,	4	,	27	,	4	,	6.75	,	11	,	0	,	FALSE
Rohit Sharma	,	1	,	9	,	0	,	9	,	0	,	0	,	FALSE
