Batsmen				Runs		Balls		SR		4s		6s
Evin Lewis	,	c Mayank Agarwal b Arshdeep Singh	,	36	,	21	,	171.42	,	7	,	1
Yashasvi Jaiswal	,	c Mayank Agarwal b Harpreet Brar	,	49	,	36	,	136.11	,	6	,	2
Sanju Samson	,	c KL Rahul b Ishan Porel	,	4	,	5	,	80	,	0	,	0
Liam Livingstone	,	c Fabian Allen b Arshdeep Singh	,	25	,	17	,	147.05	,	2	,	1
Mahipal Lomror	,	c Aiden Markram b Arshdeep Singh	,	43	,	17	,	252.94	,	2	,	4
Riyan Parag	,	c Aiden Markram b Mohammad Shami	,	4	,	5	,	80	,	0	,	0
Rahul Tewatia	,	b Mohammad Shami	,	2	,	5	,	40	,	0	,	0
Chris Morris	,	c Aiden Markram b Mohammad Shami	,	5	,	5	,	100	,	0	,	0
Chetan Sakariya	,	c & b Arshdeep Singh	,	7	,	6	,	116.66	,	1	,	0
Kartik Tyagi	,	b Arshdeep Singh	,	1	,	3	,	33.33	,	0	,	0
Mustafizur Rahman	,	NOT OUT	,	0	,	0	,	0	,	0	,	0
KL Rahul	,	c Kartik Tyagi b Chetan Sakariya	,	49	,	33	,	148.48	,	4	,	2
Mayank Agarwal	,	c Liam Livingstone b Rahul Tewatia	,	67	,	43	,	155.81	,	7	,	2
Aiden Markram	,	NOT OUT	,	26	,	20	,	130	,	2	,	1
Nicholas Pooran	,	c Sanju Samson b Kartik Tyagi	,	32	,	22	,	145.45	,	1	,	2
Deepak Hooda	,	c Sanju Samson b Kartik Tyagi	,	0	,	2	,	0	,	0	,	0
Fabian Allen	,	NOT OUT	,	0	,	1	,	0	,	0	,	0
