Bowler		O		R		W		Econ		Dots				
Daniel Sams	,	4	,	24	,	1	,	6	,	11	,	0	,	FALSE
Mohammed Siraj	,	3	,	24	,	0	,	8	,	7	,	0	,	FALSE
Kyle Jamieson	,	3	,	32	,	2	,	10.66	,	7	,	0	,	FALSE
Yuzvendra Chahal	,	4	,	34	,	1	,	8.5	,	9	,	0	,	FALSE
Harshal Patel	,	4	,	53	,	0	,	13.25	,	5	,	0	,	FALSE
Shahbaz Ahmed	,	2	,	11	,	1	,	5.5	,	2	,	0	,	FALSE
Riley Meredith	,	3.2	,	29	,	1	,	8.7	,	7	,	0	,	FALSE
Mohammad Shami	,	3.4	,	28	,	1	,	7.63	,	9	,	0	,	FALSE
Ravi Bishnoi	,	4	,	17	,	2	,	4.25	,	10	,	0	,	FALSE
Harpreet Brar	,	4	,	19	,	3	,	4.75	,	15	,	1	,	FALSE
Chris Jordan	,	4	,	31	,	1	,	7.75	,	9	,	0	,	FALSE
Deepak Hooda	,	1	,	13	,	0	,	13	,	1	,	0	,	FALSE
