Batsmen				Runs		Balls		SR		4s		6s
KL Rahul	,	NOT OUT	,	91	,	57	,	159.64	,	7	,	5
Prabhsimran Singh	,	c Virat Kohli b Kyle Jamieson	,	7	,	7	,	100	,	1	,	0
Chris Gayle	,	c AB de Villiers b Daniel Sams	,	46	,	24	,	191.66	,	6	,	2
Nicholas Pooran	,	c Shahbaz Ahmed b Kyle Jamieson	,	0	,	3	,	0	,	0	,	0
Deepak Hooda	,	c Rajat Patidar b Shahbaz Ahmed	,	5	,	9	,	55.55	,	0	,	0
Shahrukh Khan	,	b Yuzvendra Chahal	,	0	,	3	,	0	,	0	,	0
Harpreet Brar	,	NOT OUT	,	25	,	17	,	147.05	,	1	,	2
Virat Kohli	,	b Harpreet Brar	,	35	,	34	,	102.94	,	3	,	1
Devdutt Padikkal	,	b Riley Meredith	,	7	,	6	,	116.66	,	0	,	1
Rajat Patidar	,	c Nicholas Pooran b Chris Jordan	,	31	,	30	,	103.33	,	2	,	1
Glenn Maxwell	,	b Harpreet Brar	,	0	,	1	,	0	,	0	,	0
AB de Villiers	,	c KL Rahul b Harpreet Brar	,	3	,	9	,	33.33	,	0	,	0
Shahbaz Ahmed	,	c Harpreet Brar b Ravi Bishnoi	,	8	,	11	,	72.72	,	1	,	0
Daniel Sams	,	b Ravi Bishnoi	,	3	,	4	,	75	,	0	,	0
Kyle Jamieson	,	NOT OUT	,	16	,	11	,	145.45	,	1	,	1
Harshal Patel	,	c Ravi Bishnoi b Mohammad Shami	,	31	,	13	,	238.46	,	3	,	2
Mohammed Siraj	,	NOT OUT	,	0	,	1	,	0	,	0	,	0
