Bowler		O		R		W		Econ		Dots		m		h
Jaydev Unadkat	,	4	,	25	,	1	,	6.25	,	11	,	0	,	FALSE
Chetan Sakariya	,	4	,	31	,	1	,	7.75	,	8	,	0	,	FALSE
Mustafizur Rahman	,	4	,	22	,	1	,	5.5	,	13	,	0	,	FALSE
Chris Morris	,	4	,	23	,	4	,	5.75	,	18	,	0	,	FALSE
Rahul Tewatia	,	3	,	24	,	0	,	8	,	4	,	0	,	FALSE
Shivam Dube	,	1	,	5	,	0	,	5	,	2	,	0	,	FALSE
Shivam Mavi	,	4	,	19	,	1	,	4.75	,	17	,	0	,	FALSE
Pat Cummins	,	3.5	,	36	,	0	,	9.39	,	4	,	0	,	FALSE
Varun Chakaravarthy	,	4	,	32	,	2	,	8	,	8	,	0	,	FALSE
Sunil Narine	,	4	,	20	,	0	,	5	,	11	,	0	,	FALSE
Prasidh Krishna	,	3	,	20	,	1	,	6.66	,	8	,	0	,	FALSE
