Batsmen				Runs		Balls		SR		4s		6s
Nitish Rana	,	c Sanju Samson b Chetan Sakariya	,	22	,	25	,	88	,	1	,	1
Shubman Gill	,	run out (Jos Buttler)	,	11	,	19	,	57.89	,	1	,	0
Rahul Tripathi	,	c Riyan Parag b Mustafizur Rahman	,	36	,	26	,	138.46	,	1	,	2
Sunil Narine	,	c Yashasvi Jaiswal b Jaydev Unadkat	,	6	,	7	,	85.71	,	1	,	0
Eoin Morgan	,	run out (Chris Morris)	,	0	,	0	,	0	,	0	,	0
Dinesh Karthik	,	c Chetan Sakariya b Chris Morris	,	25	,	24	,	104.16	,	4	,	0
Andre Russell	,	c David Miller b Chris Morris	,	9	,	7	,	128.57	,	0	,	1
Pat Cummins	,	c Riyan Parag b Chris Morris	,	10	,	6	,	166.66	,	0	,	1
Shivam Mavi	,	b Chris Morris	,	5	,	7	,	71.42	,	1	,	0
Jos Buttler	,	lbw Varun Chakaravarthy	,	5	,	7	,	71.42	,	1	,	0
Yashasvi Jaiswal	,	c sub (Kamlesh Nagarkoti) b Shivam Mavi	,	22	,	17	,	129.41	,	5	,	0
Sanju Samson	,	NOT OUT	,	42	,	41	,	102.43	,	2	,	1
Shivam Dube	,	c Prasidh Krishna b Varun Chakaravarthy	,	22	,	18	,	122.22	,	2	,	1
Rahul Tewatia	,	c sub (Kamlesh Nagarkoti) b Prasidh Krishna	,	5	,	8	,	62.5	,	0	,	0
David Miller	,	NOT OUT	,	24	,	23	,	104.34	,	3	,	0
