Bowler		O		R		W		Econ		Dots		m		h
Abhishek Sharma	,	4	,	24	,	2	,	6	,	10	,	0	,	FALSE
Bhuvneshwar Kumar	,	3	,	16	,	1	,	5.33	,	7	,	0	,	FALSE
Khaleel Ahmed	,	4	,	21	,	3	,	5.25	,	9	,	0	,	FALSE
Siddarth Kaul	,	3.4	,	27	,	1	,	7.36	,	8	,	0	,	FALSE
Vijay Shankar	,	1	,	6	,	0	,	6	,	3	,	0	,	FALSE
Rashid Khan	,	4	,	17	,	1	,	4.25	,	11	,	0	,	FALSE
Mohammad Shami	,	2	,	16	,	0	,	8	,	5	,	0	,	FALSE
Fabian Allen	,	4	,	22	,	1	,	5.5	,	13	,	1	,	FALSE
Arshdeep Singh	,	3.4	,	31	,	0	,	8.45	,	5	,	0	,	FALSE
Moises Henriques	,	1	,	7	,	0	,	7	,	4	,	0	,	FALSE
Murugan Ashwin	,	4	,	22	,	0	,	5.5	,	7	,	0	,	FALSE
Deepak Hooda	,	4	,	22	,	0	,	5.5	,	12	,	0	,	FALSE
