Bowler		O		R		W		Econ		Dots		m		h
Marcus Stoinis	,	3	,	20	,	1	,	6.66	,	6	,	0	,	FALSE
Ravichandran Ashwin	,	4	,	31	,	0	,	7.75	,	12	,	0	,	FALSE
Kagiso Rabada	,	3	,	25	,	1	,	8.33	,	7	,	0	,	FALSE
Amit Mishra	,	4	,	24	,	4	,	6	,	11	,	0	,	FALSE
Avesh Khan	,	2	,	15	,	2	,	7.5	,	5	,	0	,	FALSE
Lalit Yadav	,	4	,	17	,	1	,	4.25	,	7	,	0	,	FALSE
Trent Boult	,	4	,	23	,	0	,	5.75	,	13	,	0	,	FALSE
Jayant Yadav	,	4	,	25	,	1	,	6.25	,	10	,	0	,	FALSE
Jasprit Bumrah	,	4	,	32	,	1	,	8	,	7	,	0	,	FALSE
Krunal Pandya	,	2	,	17	,	0	,	8.5	,	2	,	0	,	FALSE
Rahul Chahar	,	4	,	29	,	1	,	7.25	,	9	,	0	,	FALSE
Kieron Pollard	,	1.1	,	9	,	1	,	7.71	,	3	,	0	,	FALSE
