Name		Team
Deepak Hooda	,	PBKS
Virat Kohli	,	RCB
Suresh Raina	,	CSK
Steve Smith	,	DC
Kieron Pollard	,	MI
Ishan Kishan	,	MI
Eoin Morgan	,	KKR
David Warner	,	SRH
