Bowler		O		R		W		Econ		Dots				
Mohammed Siraj	,	4	,	27	,	3	,	6.75	,	16	,	0	,	FALSE
Kyle Jamieson	,	4	,	28	,	1	,	7	,	11	,	0	,	FALSE
Kane Richardson	,	3	,	29	,	1	,	9.66	,	5	,	0	,	FALSE
Yuzvendra Chahal	,	2	,	18	,	0	,	9	,	5	,	0	,	FALSE
Washington Sundar	,	3	,	23	,	1	,	7.66	,	4	,	0	,	FALSE
Harshal Patel	,	4	,	47	,	3	,	11.75	,	8	,	0	,	FALSE
Shreyas Gopal	,	3	,	35	,	0	,	11.66	,	6	,	0	,	FALSE
Chetan Sakariya	,	4	,	35	,	0	,	8.75	,	7	,	0	,	FALSE
Chris Morris	,	3	,	38	,	0	,	12.66	,	2	,	0	,	FALSE
Mustafizur Rahman	,	3.3	,	34	,	0	,	9.71	,	8	,	0	,	FALSE
Rahul Tewatia	,	2	,	23	,	0	,	11.5	,	2	,	0	,	FALSE
Riyan Parag	,	1	,	14	,	0	,	14	,	0	,	0	,	FALSE
