Batsmen				Runs		Balls		SR		4s		6s
Jos Buttler	,	b Mohammed Siraj	,	8	,	8	,	100	,	2	,	0
Manan Vohra	,	c Kane Richardson b Kyle Jamieson	,	7	,	9	,	77.77	,	1	,	0
Sanju Samson	,	c Glenn Maxwell b Washington Sundar	,	21	,	18	,	116.66	,	2	,	1
David Miller	,	lbw Mohammed Siraj	,	0	,	2	,	0	,	0	,	0
Shivam Dube	,	c Glenn Maxwell b Kane Richardson	,	46	,	32	,	143.75	,	5	,	2
Riyan Parag	,	c Yuzvendra Chahal b Harshal Patel	,	25	,	16	,	156.25	,	4	,	0
Rahul Tewatia	,	c Shahbaz Ahmed b Mohammed Siraj	,	40	,	23	,	173.91	,	4	,	2
Chris Morris	,	c Yuzvendra Chahal b Harshal Patel	,	10	,	7	,	142.85	,	0	,	1
Shreyas Gopal	,	NOT OUT	,	7	,	4	,	175	,	0	,	1
Chetan Sakariya	,	c AB de Villiers b Harshal Patel	,	0	,	1	,	0	,	0	,	0
Virat Kohli	,	NOT OUT	,	72	,	47	,	153.19	,	6	,	3
Devdutt Padikkal	,	NOT OUT	,	101	,	52	,	194.23	,	11	,	6
