Bowler		O		R		W		Econ		Dots		m		h
Chris Woakes	,	4	,	42	,	1	,	10.5	,	9	,	0	,	FALSE
Lukman Meriwala	,	3	,	32	,	1	,	10.66	,	6	,	0	,	FALSE
Ravichandran Ashwin	,	4	,	28	,	0	,	7	,	7	,	0	,	FALSE
Kagiso Rabada	,	4	,	43	,	1	,	10.75	,	8	,	0	,	FALSE
Lalit Yadav	,	1	,	11	,	0	,	11	,	1	,	0	,	FALSE
Avesh Khan	,	4	,	33	,	1	,	8.25	,	9	,	0	,	FALSE
Arshdeep Singh	,	3	,	22	,	1	,	7.33	,	3	,	0	,	FALSE
Mohammad Shami	,	4	,	53	,	0	,	13.25	,	8	,	0	,	FALSE
Jalaj Saxena	,	3	,	27	,	0	,	9	,	5	,	0	,	FALSE
Jhye Richardson	,	4	,	41	,	2	,	10.25	,	8	,	0	,	FALSE
Deepak Hooda	,	2	,	18	,	0	,	9	,	1	,	0	,	FALSE
Riley Meredith	,	2.2	,	35	,	1	,	15	,	4	,	0	,	FALSE
