Batsmen				Runs		Balls		SR		4s		6s
KL Rahul	,	c Marcus Stoinis b Kagiso Rabada	,	61	,	51	,	119.6	,	7	,	2
Mayank Agarwal	,	c Shikhar Dhawan b Lukman Meriwala	,	69	,	36	,	191.66	,	7	,	4
Chris Gayle	,	c sub (Ripal Patel) b Chris Woakes	,	11	,	9	,	122.22	,	0	,	1
Deepak Hooda	,	NOT OUT	,	22	,	13	,	169.23	,	0	,	2
Nicholas Pooran	,	c Kagiso Rabada b Avesh Khan	,	9	,	8	,	112.5	,	1	,	0
Shahrukh Khan	,	NOT OUT	,	15	,	5	,	300	,	2	,	1
Prithvi Shaw	,	c Chris Gayle b Arshdeep Singh	,	32	,	17	,	188.23	,	3	,	2
Shikhar Dhawan	,	b Jhye Richardson	,	92	,	49	,	187.75	,	13	,	2
Steve Smith	,	c Jhye Richardson b Riley Meredith	,	9	,	12	,	75	,	0	,	0
Rishabh Pant	,	c Deepak Hooda b Jhye Richardson	,	15	,	16	,	93.75	,	0	,	1
Marcus Stoinis	,	NOT OUT	,	27	,	13	,	207.69	,	3	,	1
Lalit Yadav	,	NOT OUT	,	12	,	6	,	200	,	2	,	0
