Batsmen				Runs		Balls		SR		4s		6s
Quinton de Kock	,	c Moises Henriques b Deepak Hooda	,	3	,	5	,	60	,	0	,	0
Rohit Sharma	,	c Fabian Allen b Mohammad Shami	,	63	,	52	,	121.15	,	5	,	2
Ishan Kishan	,	c KL Rahul b Ravi Bishnoi	,	6	,	17	,	35.29	,	0	,	0
Suryakumar Yadav	,	c Chris Gayle b Ravi Bishnoi	,	33	,	27	,	122.22	,	3	,	1
Kieron Pollard	,	NOT OUT	,	16	,	12	,	133.33	,	0	,	1
Hardik Pandya	,	c Deepak Hooda b Arshdeep Singh	,	1	,	4	,	25	,	0	,	0
Krunal Pandya	,	c Nicholas Pooran b Mohammad Shami	,	3	,	3	,	100	,	0	,	0
KL Rahul	,	NOT OUT	,	60	,	52	,	115.38	,	3	,	3
Mayank Agarwal	,	c Suryakumar Yadav b Rahul Chahar	,	25	,	20	,	125	,	4	,	1
Chris Gayle	,	NOT OUT	,	43	,	35	,	122.85	,	5	,	2
