Bowler		O		R		W		Econ		Dots				
Moises Henriques	,	3	,	12	,	0	,	4	,	9	,	0	,	FALSE
Deepak Hooda	,	3	,	15	,	1	,	5	,	9	,	0	,	FALSE
Mohammad Shami	,	4	,	21	,	2	,	5.25	,	7	,	0	,	FALSE
Ravi Bishnoi	,	4	,	21	,	2	,	5.25	,	10	,	0	,	FALSE
Fabian Allen	,	3	,	30	,	0	,	10	,	2	,	0	,	FALSE
Arshdeep Singh	,	3	,	28	,	1	,	9.33	,	7	,	0	,	FALSE
Trent Boult	,	2.4	,	30	,	0	,	11.25	,	7	,	0	,	FALSE
Krunal Pandya	,	3	,	31	,	0	,	10.33	,	7	,	0	,	FALSE
Jasprit Bumrah	,	3	,	21	,	0	,	7	,	9	,	0	,	FALSE
Rahul Chahar	,	4	,	19	,	1	,	4.75	,	8	,	0	,	FALSE
Jayant Yadav	,	4	,	20	,	0	,	5	,	16	,	0	,	FALSE
Kieron Pollard	,	1	,	11	,	0	,	11	,	1	,	0	,	FALSE
