Batsmen				Runs		Balls		SR		4s		6s
Nitish Rana	,	st Rishabh Pant b Axar Patel	,	15	,	12	,	125	,	1	,	1
Shubman Gill	,	c Steve Smith b Avesh Khan	,	43	,	38	,	113.15	,	3	,	1
Rahul Tripathi	,	c Lalit Yadav b Marcus Stoinis	,	19	,	17	,	111.76	,	2	,	0
Eoin Morgan	,	c Steve Smith b Lalit Yadav	,	0	,	2	,	0	,	0	,	0
Sunil Narine	,	b Lalit Yadav	,	0	,	1	,	0	,	0	,	0
Andre Russell	,	NOT OUT	,	45	,	27	,	166.66	,	2	,	4
Dinesh Karthik	,	lbw Axar Patel	,	14	,	10	,	140	,	1	,	1
Pat Cummins	,	NOT OUT	,	11	,	13	,	84.61	,	1	,	0
Prithvi Shaw	,	c Nitish Rana b Pat Cummins	,	82	,	41	,	200	,	11	,	3
Shikhar Dhawan	,	lbw Pat Cummins	,	46	,	47	,	97.87	,	4	,	1
Rishabh Pant	,	c Shivam Mavi b Pat Cummins	,	16	,	8	,	200	,	2	,	1
Marcus Stoinis	,	NOT OUT	,	6	,	3	,	200	,	1	,	0
Shimron Hetmyer	,	NOT OUT	,	0	,	1	,	0	,	0	,	0
