Bowler		O		R		W		Econ		Dots				
Ishant Sharma	,	4	,	34	,	0	,	8.5	,	6	,	0	,	FALSE
Kagiso Rabada	,	4	,	31	,	0	,	7.75	,	10	,	0	,	FALSE
Axar Patel	,	4	,	32	,	2	,	8	,	11	,	0	,	FALSE
Avesh Khan	,	4	,	31	,	1	,	7.75	,	8	,	0	,	FALSE
Lalit Yadav	,	3	,	13	,	2	,	4.33	,	6	,	0	,	FALSE
Marcus Stoinis	,	1	,	7	,	1	,	7	,	3	,	0	,	FALSE
Shivam Mavi	,	1	,	25	,	0	,	25	,	0	,	0	,	FALSE
Varun Chakaravarthy	,	4	,	34	,	0	,	8.5	,	5	,	0	,	FALSE
Prasidh Krishna	,	3.3	,	36	,	0	,	10.28	,	10	,	0	,	FALSE
Sunil Narine	,	4	,	36	,	0	,	9	,	6	,	0	,	FALSE
Pat Cummins	,	4	,	24	,	3	,	6	,	15	,	0	,	FALSE
