Batsmen				Runs		Balls		SR		4s		6s
Ruturaj Gaikwad	,	c Hardik Pandya b Trent Boult	,	4	,	4	,	100	,	1	,	0
Faf du Plessis	,	c Jasprit Bumrah b Kieron Pollard	,	50	,	28	,	178.57	,	2	,	4
Moeen Ali	,	c Quinton de Kock b Jasprit Bumrah	,	58	,	36	,	161.11	,	5	,	5
Suresh Raina	,	c Krunal Pandya b Kieron Pollard	,	2	,	4	,	50	,	0	,	0
Ambati Rayudu	,	NOT OUT	,	72	,	27	,	266.66	,	4	,	7
Ravindra Jadeja	,	NOT OUT	,	22	,	22	,	100	,	2	,	0
Quinton de Kock	,	c & b Moeen Ali	,	38	,	28	,	135.71	,	4	,	1
Rohit Sharma	,	c Ruturaj Gaikwad b Shardul Thakur	,	35	,	24	,	145.83	,	4	,	1
Suryakumar Yadav	,	c MS Dhoni b Ravindra Jadeja	,	3	,	3	,	100	,	0	,	0
Krunal Pandya	,	lbw Sam Curran	,	32	,	23	,	139.13	,	2	,	2
Kieron Pollard	,	NOT OUT	,	87	,	34	,	255.88	,	6	,	8
Hardik Pandya	,	c Faf du Plessis b Sam Curran	,	16	,	7	,	228.57	,	0	,	2
Jimmy Neesham	,	c Shardul Thakur b Sam Curran	,	0	,	1	,	0	,	0	,	0
