Batsmen	,		,	Runs	,	Balls	,	SR	,	4s	,	6s
KL Rahul	,	c sub (Jagadeesha Suchith) b Jason Holder	,	21	,	21	,	100	,	3	,	0
Mayank Agarwal	,	c Kane Williamson b Jason Holder	,	5	,	6	,	83.33	,	0	,	0
Chris Gayle	,	lbw Rashid Khan	,	14	,	17	,	82.35	,	1	,	0
Aiden Markram	,	c Manish Pandey b Abdul Samad	,	27	,	32	,	84.37	,	2	,	0
Nicholas Pooran	,	c & b Sandeep Sharma	,	8	,	4	,	200	,	0	,	1
Deepak Hooda	,	c sub (Jagadeesha Suchith) b Jason Holder	,	13	,	10	,	130	,	1	,	0
Harpreet Brar	,	NOT OUT	,	18	,	18	,	100	,	1	,	0
Nathan Ellis	,	c Manish Pandey b Bhuvneshwar Kumar	,	12	,	12	,	100	,	0	,	1
David Warner	,	c KL Rahul b Mohammad Shami	,	2	,	3	,	66.66	,	0	,	0
Wriddhiman Saha	,	run out (Arshdeep Singh/Ravi Bishnoi)	,	31	,	37	,	83.78	,	1	,	0
Kane Williamson	,	b Mohammad Shami	,	1	,	6	,	16.66	,	0	,	0
Manish Pandey	,	b Ravi Bishnoi	,	13	,	23	,	56.52	,	1	,	0
Kedar Jadhav	,	b Ravi Bishnoi	,	12	,	12	,	100	,	0	,	0
Abdul Samad	,	c Chris Gayle b Ravi Bishnoi	,	1	,	2	,	50	,	0	,	0
Jason Holder	,	NOT OUT	,	47	,	29	,	162.06	,	0	,	5
Rashid Khan	,	c & b Arshdeep Singh	,	3	,	4	,	75	,	0	,	0
Bhuvneshwar Kumar	,	NOT OUT	,	3	,	4	,	75	,	0	,	0
