Bowler		O		R		W		Econ		Dots				
Shivam Mavi	,	4	,	13	,	1	,	3.25	,	15	,	0	,	FALSE
Pat Cummins	,	3	,	31	,	2	,	10.33	,	9	,	0	,	FALSE
Sunil Narine	,	4	,	22	,	2	,	5.5	,	10	,	0	,	FALSE
Prasidh Krishna	,	4	,	30	,	3	,	7.5	,	12	,	0	,	FALSE
Andre Russell	,	1	,	2	,	0	,	2	,	4	,	0	,	FALSE
Varun Chakaravarthy	,	4	,	24	,	1	,	6	,	10	,	0	,	FALSE
Moises Henriques	,	1	,	5	,	1	,	5	,	4	,	0	,	FALSE
Mohammad Shami	,	4	,	25	,	1	,	6.25	,	17	,	0	,	FALSE
Arshdeep Singh	,	2.4	,	27	,	1	,	10.12	,	5	,	0	,	FALSE
Ravi Bishnoi	,	4	,	19	,	0	,	4.75	,	9	,	0	,	FALSE
Chris Jordan	,	3	,	24	,	0	,	8	,	8	,	0	,	FALSE
Deepak Hooda	,	2	,	20	,	1	,	10	,	3	,	0	,	FALSE
