Bowler		O		R		W		Econ		Dots				
Khaleel Ahmed	,	4	,	42	,	0	,	10.5	,	6	,	0	,	FALSE
Abhishek Sharma	,	1	,	14	,	0	,	14	,	2	,	0	,	FALSE
Siddarth Kaul	,	4	,	31	,	2	,	7.75	,	8	,	0	,	FALSE
Jagadeesha Suchith	,	4	,	21	,	0	,	5.25	,	9	,	0	,	FALSE
Vijay Shankar	,	3	,	19	,	0	,	6.33	,	7	,	0	,	FALSE
Rashid Khan	,	4	,	31	,	1	,	7.75	,	7	,	0	,	FALSE
Kagiso Rabada	,	3	,	25	,	0	,	8.33	,	7	,	0	,	FALSE
Ravichandran Ashwin	,	4	,	27	,	0	,	6.75	,	12	,	0	,	FALSE
Marcus Stoinis	,	1	,	12	,	0	,	12	,	2	,	0	,	FALSE
Axar Patel	,	4	,	26	,	2	,	6.5	,	11	,	0	,	FALSE
Avesh Khan	,	4	,	34	,	3	,	8.5	,	9	,	0	,	FALSE
Amit Mishra	,	4	,	31	,	1	,	7.75	,	8	,	0	,	FALSE
