Batsmen				Runs		Balls		SR		4s		6s
Nitish Rana	,	c Vijay Shankar b Mohammad Nabi	,	80	,	56	,	142.85	,	9	,	4
Shubman Gill	,	b Rashid Khan	,	15	,	13	,	115.38	,	1	,	1
Rahul Tripathi	,	c Wriddhiman Saha b T Natarajan	,	53	,	29	,	182.75	,	5	,	2
Andre Russell	,	c Manish Pandey b Rashid Khan	,	5	,	5	,	100	,	1	,	0
Eoin Morgan	,	c Abdul Samad b Mohammad Nabi	,	2	,	3	,	66.66	,	0	,	0
Dinesh Karthik	,	NOT OUT	,	22	,	9	,	244.44	,	2	,	1
Shakib Al Hasan	,	c Abdul Samad b Bhuvneshwar Kumar	,	3	,	5	,	60	,	0	,	0
Wriddhiman Saha	,	b Shakib Al Hasan	,	7	,	6	,	116.66	,	0	,	1
David Warner	,	c Dinesh Karthik b Prasidh Krishna	,	3	,	4	,	75	,	0	,	0
Manish Pandey	,	NOT OUT	,	61	,	44	,	138.63	,	2	,	3
Jonny Bairstow	,	c Nitish Rana b Pat Cummins	,	55	,	40	,	137.5	,	5	,	3
Mohammad Nabi	,	c Eoin Morgan b Prasidh Krishna	,	14	,	11	,	127.27	,	2	,	0
Vijay Shankar	,	c Eoin Morgan b Andre Russell	,	11	,	7	,	157.14	,	0	,	1
Abdul Samad	,	NOT OUT	,	19	,	8	,	237.5	,	0	,	2
