Bowler	,	O	,	R	,	W	,	Econ	,	Dots	,		,	
Kyle Jamieson	,	2	,	22	,	0	,	11	,	3	,	0	,	FALSE
Mohammed Siraj	,	3	,	15	,	1	,	5	,	12	,	0	,	FALSE
Dan Christian	,	2	,	21	,	0	,	10.5	,	2	,	0	,	FALSE
Harshal Patel	,	3.1	,	17	,	4	,	5.36	,	10	,	0	,	TRUE
Yuzvendra Chahal	,	4	,	11	,	3	,	2.75	,	16	,	1	,	FALSE
Glenn Maxwell	,	4	,	23	,	2	,	5.75	,	8	,	0	,	FALSE
Trent Boult	,	4	,	17	,	1	,	4.25	,	16	,	0	,	FALSE
Jasprit Bumrah	,	4	,	36	,	3	,	9	,	12	,	0	,	FALSE
Adam Milne	,	4	,	48	,	1	,	12	,	7	,	0	,	FALSE
Krunal Pandya	,	4	,	27	,	0	,	6.75	,	8	,	0	,	FALSE
Rahul Chahar	,	4	,	33	,	1	,	8.25	,	11	,	0	,	FALSE
