Batsmen	,		,	Runs	,	Balls	,	SR	,	4s	,	6s
Shubman Gill	,	run out (Ambati Rayudu)	,	9	,	5	,	180	,	2	,	0
Venkatesh Iyer	,	c MS Dhoni b Shardul Thakur	,	18	,	15	,	120	,	3	,	0
Rahul Tripathi	,	b Ravindra Jadeja	,	45	,	33	,	136.36	,	4	,	1
Eoin Morgan	,	c Faf du Plessis b Josh Hazlewood	,	8	,	14	,	57.14	,	0	,	0
Nitish Rana	,	NOT OUT	,	37	,	27	,	137.03	,	3	,	1
Andre Russell	,	b Shardul Thakur	,	20	,	15	,	133.33	,	2	,	1
Dinesh Karthik	,	c MS Dhoni b Josh Hazlewood	,	26	,	11	,	236.36	,	3	,	1
Sunil Narine	,	NOT OUT	,	0	,	1	,	0	,	0	,	0
Ruturaj Gaikwad	,	c Eoin Morgan b Andre Russell	,	40	,	28	,	142.85	,	2	,	3
Faf du Plessis	,	c Lockie Ferguson b Prasidh Krishna	,	43	,	30	,	143.33	,	7	,	0
Moeen Ali	,	c Venkatesh Iyer b Lockie Ferguson	,	32	,	28	,	114.28	,	2	,	1
Ambati Rayudu	,	b Sunil Narine	,	10	,	9	,	111.11	,	1	,	0
Suresh Raina	,	run out (Rahul Tripathi/Varun Chakaravarthy)	,	11	,	7	,	157.14	,	1	,	0
MS Dhoni	,	b Varun Chakaravarthy	,	1	,	4	,	25	,	0	,	0
Ravindra Jadeja	,	lbw Sunil Narine	,	22	,	8	,	275	,	2	,	2
Sam Curran	,	c sub (Kamlesh Nagarkoti) b Sunil Narine	,	4	,	4	,	100	,	0	,	0
Shardul Thakur	,	NOT OUT	,	3	,	2	,	150	,	0	,	0
Deepak Chahar	,	NOT OUT	,	1	,	1	,	100	,	0	,	0
