Bowler	,	O	,	R	,	W	,	Econ	,	Dots	,		,	
Deepak Chahar	,	4	,	32	,	0	,	8	,	8	,	0	,	FALSE
Sam Curran	,	4	,	56	,	0	,	14	,	5	,	0	,	FALSE
Josh Hazlewood	,	4	,	40	,	2	,	10	,	8	,	0	,	FALSE
Shardul Thakur	,	4	,	20	,	2	,	5	,	10	,	0	,	FALSE
Ravindra Jadeja	,	4	,	21	,	1	,	5.25	,	5	,	0	,	FALSE
Prasidh Krishna	,	4	,	41	,	1	,	10.25	,	9	,	0	,	FALSE
Lockie Ferguson	,	4	,	33	,	1	,	8.25	,	10	,	0	,	FALSE
Varun Chakaravarthy	,	4	,	22	,	1	,	5.5	,	9	,	0	,	FALSE
Sunil Narine	,	4	,	41	,	3	,	10.25	,	7	,	0	,	FALSE
Andre Russell	,	3	,	28	,	1	,	9.33	,	3	,	0	,	FALSE
Venkatesh Iyer	,	1	,	5	,	0	,	5	,	2	,	0	,	FALSE
