Bowler		O		R		W		Econ		Dots				
Trent Boult	,	4	,	37	,	1	,	9.25	,	7	,	0	,	FALSE
Jasprit Bumrah	,	4	,	15	,	1	,	3.75	,	12	,	0	,	FALSE
Jayant Yadav	,	3	,	37	,	0	,	12.33	,	3	,	0	,	FALSE
Nathan Coulter-Nile	,	4	,	35	,	0	,	8.75	,	8	,	0	,	FALSE
Rahul Chahar	,	4	,	33	,	2	,	8.25	,	7	,	0	,	FALSE
Krunal Pandya	,	1	,	12	,	0	,	12	,	0	,	0	,	FALSE
Chetan Sakariya	,	3	,	18	,	0	,	6	,	6	,	0	,	FALSE
Jaydev Unadkat	,	4	,	33	,	0	,	8.25	,	7	,	0	,	FALSE
Mustafizur Rahman	,	3.3	,	37	,	1	,	10.57	,	6	,	0	,	FALSE
Chris Morris	,	4	,	33	,	2	,	8.25	,	9	,	0	,	FALSE
Rahul Tewatia	,	3	,	30	,	0	,	10	,	4	,	0	,	FALSE
Shivam Dube	,	1	,	6	,	0	,	6	,	3	,	0	,	FALSE
