Batsmen				Runs		Balls		SR		4s		6s
Jos Buttler	,	st Quinton de Kock b Rahul Chahar	,	41	,	32	,	128.12	,	3	,	3
Yashasvi Jaiswal	,	c & b Rahul Chahar	,	32	,	20	,	160	,	2	,	2
Sanju Samson	,	b Trent Boult	,	42	,	27	,	155.55	,	5	,	0
Shivam Dube	,	c & b Jasprit Bumrah	,	35	,	31	,	112.9	,	2	,	2
David Miller	,	NOT OUT	,	7	,	4	,	175	,	1	,	0
Riyan Parag	,	NOT OUT	,	8	,	7	,	114.28	,	1	,	0
Rohit Sharma	,	c Chetan Sakariya b Chris Morris	,	14	,	17	,	82.35	,	0	,	1
Quinton de Kock	,	NOT OUT	,	70	,	50	,	140	,	6	,	2
Suryakumar Yadav	,	c Jos Buttler b Chris Morris	,	16	,	10	,	160	,	3	,	0
Krunal Pandya	,	b Mustafizur Rahman	,	39	,	26	,	150	,	2	,	2
Kieron Pollard	,	NOT OUT	,	16	,	8	,	200	,	2	,	1
