Batsmen				Runs		Balls		SR		4s		6s
KL Rahul	,	run out (Ravindra Jadeja)	,	5	,	7	,	71.42	,	1	,	0
Mayank Agarwal	,	b Deepak Chahar	,	0	,	2	,	0	,	0	,	0
Chris Gayle	,	c Ravindra Jadeja b Deepak Chahar	,	10	,	10	,	100	,	2	,	0
Deepak Hooda	,	c Faf du Plessis b Deepak Chahar	,	10	,	15	,	66.66	,	1	,	0
Nicholas Pooran	,	c Shardul Thakur b Deepak Chahar	,	0	,	2	,	0	,	0	,	0
Shahrukh Khan	,	c Ravindra Jadeja b Sam Curran	,	47	,	36	,	130.55	,	4	,	2
Jhye Richardson	,	b Moeen Ali	,	15	,	22	,	68.18	,	2	,	0
Murugan Ashwin	,	c Faf du Plessis b Dwayne Bravo	,	6	,	14	,	42.85	,	0	,	0
Mohammad Shami	,	NOT OUT	,	9	,	12	,	75	,	0	,	0
Riley Meredith	,	NOT OUT	,	0	,	0	,	0	,	0	,	0
Ruturaj Gaikwad	,	c Deepak Hooda b Arshdeep Singh	,	5	,	16	,	31.25	,	0	,	0
Faf du Plessis	,	NOT OUT	,	36	,	33	,	109.09	,	3	,	1
Moeen Ali	,	c Shahrukh Khan b Murugan Ashwin	,	46	,	31	,	148.38	,	7	,	1
Suresh Raina	,	c KL Rahul b Mohammad Shami	,	8	,	9	,	88.88	,	1	,	0
Ambati Rayudu	,	c Nicholas Pooran b Mohammad Shami	,	0	,	1	,	0	,	0	,	0
Sam Curran	,	NOT OUT	,	5	,	4	,	125	,	1	,	0
