Batsmen	,		,	Runs	,	Balls	,	SR	,	4s	,	6s
Virat Kohli	,	lbw Prasidh Krishna	,	5	,	4	,	125	,	1	,	0
Devdutt Padikkal	,	c Dinesh Karthik b Lockie Ferguson	,	22	,	20	,	110	,	3	,	0
K.S Bharat	,	c Shubman Gill b Andre Russell	,	16	,	19	,	84.21	,	1	,	0
Glenn Maxwell	,	b Varun Chakaravarthy	,	10	,	17	,	58.82	,	0	,	0
AB de Villiers	,	b Andre Russell	,	0	,	1	,	0	,	0	,	0
Sachin Baby	,	c Nitish Rana b Varun Chakaravarthy	,	7	,	17	,	41.17	,	0	,	0
Wanindu Hasaranga	,	lbw Varun Chakaravarthy	,	0	,	1	,	0	,	0	,	0
Kyle Jamieson	,	run out (Varun Chakaravarthy)	,	4	,	12	,	33.33	,	0	,	0
Harshal Patel	,	b Lockie Ferguson	,	12	,	10	,	120	,	2	,	0
Mohammed Siraj	,	c Varun Chakaravarthy b Andre Russell	,	8	,	10	,	80	,	1	,	0
Yuzvendra Chahal	,	NOT OUT	,	2	,	6	,	33.33	,	0	,	0
Shubman Gill	,	c Mohammed Siraj b Yuzvendra Chahal	,	48	,	34	,	141.17	,	6	,	1
Venkatesh Iyer	,	NOT OUT	,	41	,	27	,	151.85	,	7	,	1
