Bowler	,	O	,	R	,	W	,	Econ	,	Dots	,		,	
Varun Chakaravarthy	,	4	,	13	,	3	,	3.25	,	15	,	0	,	FALSE
Prasidh Krishna	,	4	,	24	,	1	,	6	,	14	,	0	,	FALSE
Lockie Ferguson	,	4	,	24	,	2	,	6	,	11	,	0	,	FALSE
Sunil Narine	,	4	,	20	,	0	,	5	,	12	,	0	,	FALSE
Andre Russell	,	3	,	9	,	3	,	3	,	10	,	0	,	FALSE
Mohammed Siraj	,	2	,	12	,	0	,	6	,	8	,	0	,	FALSE
Kyle Jamieson	,	2	,	26	,	0	,	13	,	4	,	0	,	FALSE
Wanindu Hasaranga	,	2	,	20	,	0	,	10	,	4	,	0	,	FALSE
Yuzvendra Chahal	,	2	,	23	,	1	,	11.5	,	5	,	0	,	FALSE
Harshal Patel	,	2	,	13	,	0	,	6.5	,	3	,	0	,	FALSE
