Bowler		O		R		W		Econ		Dots		m		h
Harbhajan Singh	,	4	,	38	,	0	,	9.5	,	10	,	0	,	FALSE
Varun Chakaravarthy	,	4	,	39	,	2	,	9.75	,	6	,	0	,	FALSE
Shakib Al Hasan	,	2	,	24	,	0	,	12	,	2	,	0	,	FALSE
Pat Cummins	,	4	,	34	,	1	,	8.5	,	6	,	0	,	FALSE
Prasidh Krishna	,	4	,	31	,	1	,	7.75	,	10	,	0	,	FALSE
Andre Russell	,	2	,	38	,	0	,	19	,	3	,	0	,	FALSE
Mohammed Siraj	,	3	,	17	,	0	,	5.66	,	11	,	0	,	FALSE
Kyle Jamieson	,	3	,	41	,	3	,	13.66	,	7	,	0	,	FALSE
Yuzvendra Chahal	,	4	,	34	,	2	,	8.5	,	10	,	0	,	FALSE
Washington Sundar	,	4	,	33	,	1	,	8.25	,	7	,	0	,	FALSE
Glenn Maxwell	,	2	,	24	,	0	,	12	,	3	,	0	,	FALSE
Harshal Patel	,	4	,	17	,	2	,	4.25	,	7	,	0	,	FALSE
