Batsmen				Runs		Balls		SR		4s		6s
Virat Kohli	,	c Rahul Tripathi b Varun Chakaravarthy	,	5	,	6	,	83.33	,	1	,	0
Devdutt Padikkal	,	c Rahul Tripathi b Prasidh Krishna	,	25	,	28	,	89.28	,	2	,	0
Rajat Patidar	,	b Varun Chakaravarthy	,	1	,	2	,	50	,	0	,	0
Glenn Maxwell	,	c Harbhajan Singh b Pat Cummins	,	78	,	49	,	159.18	,	9	,	3
AB de Villiers	,	NOT OUT	,	76	,	34	,	223.52	,	9	,	3
Kyle Jamieson	,	NOT OUT	,	11	,	4	,	275	,	1	,	1
Nitish Rana	,	c Devdutt Padikkal b Yuzvendra Chahal	,	18	,	11	,	163.63	,	2	,	1
Shubman Gill	,	c sub (Dan Christian) b Kyle Jamieson	,	21	,	9	,	233.33	,	2	,	2
Rahul Tripathi	,	c Mohammed Siraj b Washington Sundar	,	25	,	20	,	125	,	5	,	0
Eoin Morgan	,	c Virat Kohli b Harshal Patel	,	29	,	23	,	126.08	,	1	,	2
Dinesh Karthik	,	lbw Yuzvendra Chahal	,	2	,	5	,	40	,	0	,	0
Shakib Al Hasan	,	b Kyle Jamieson	,	26	,	25	,	104	,	1	,	1
Andre Russell	,	b Harshal Patel	,	31	,	20	,	155	,	3	,	2
Pat Cummins	,	c AB de Villiers b Kyle Jamieson	,	6	,	2	,	300	,	0	,	1
Harbhajan Singh	,	NOT OUT	,	2	,	2	,	100	,	0	,	0
Varun Chakaravarthy	,	NOT OUT	,	2	,	3	,	66.66	,	0	,	0
