Bowler		O		R		W		Econ		Dots		m		h
Mohammed Siraj	,	4	,	25	,	2	,	6.25	,	14	,	1	,	FALSE
Kyle Jamieson	,	3	,	30	,	1	,	10	,	9	,	0	,	FALSE
Washington Sundar	,	2	,	14	,	0	,	7	,	7	,	0	,	FALSE
Yuzvendra Chahal	,	4	,	29	,	0	,	7.25	,	9	,	0	,	FALSE
Harshal Patel	,	4	,	25	,	2	,	6.25	,	10	,	0	,	FALSE
Dan Christian	,	1	,	7	,	0	,	7	,	1	,	0	,	FALSE
Shahbaz Ahmed	,	2	,	7	,	3	,	3.5	,	6	,	0	,	FALSE
Bhuvneshwar Kumar	,	4	,	30	,	1	,	7.5	,	10	,	0	,	FALSE
Jason Holder	,	4	,	30	,	3	,	7.5	,	13	,	0	,	FALSE
Shahbaz Nadeem	,	4	,	36	,	1	,	9	,	9	,	0	,	FALSE
T Natarajan	,	4	,	32	,	1	,	8	,	7	,	0	,	FALSE
Rashid Khan	,	4	,	18	,	2	,	4.5	,	10	,	0	,	FALSE
