Batsmen				Runs		Balls		SR		4s		6s
Prithvi Shaw	,	c David Miller b Jaydev Unadkat	,	2	,	5	,	40	,	0	,	0
Shikhar Dhawan	,	c Sanju Samson b Jaydev Unadkat	,	9	,	11	,	81.81	,	1	,	0
Ajinkya Rahane	,	c & b Jaydev Unadkat	,	8	,	8	,	100	,	1	,	0
Rishabh Pant	,	run out (Riyan Parag)	,	51	,	32	,	159.37	,	9	,	0
Marcus Stoinis	,	c Jos Buttler b Mustafizur Rahman	,	0	,	5	,	0	,	0	,	0
Lalit Yadav	,	c Rahul Tewatia b Chris Morris	,	20	,	24	,	83.33	,	3	,	0
Tom Curran	,	b Mustafizur Rahman	,	21	,	16	,	131.25	,	2	,	0
Chris Woakes	,	NOT OUT	,	15	,	11	,	136.36	,	2	,	0
Ravichandran Ashwin	,	run out (David Miller/Sanju Samson)	,	7	,	4	,	175	,	1	,	0
Kagiso Rabada	,	NOT OUT	,	9	,	4	,	225	,	1	,	0
Jos Buttler	,	c Rishabh Pant b Chris Woakes	,	2	,	7	,	28.57	,	0	,	0
Manan Vohra	,	c Kagiso Rabada b Chris Woakes	,	9	,	11	,	81.81	,	2	,	0
Sanju Samson	,	c Shikhar Dhawan b Kagiso Rabada	,	4	,	3	,	133.33	,	1	,	0
Shivam Dube	,	c Shikhar Dhawan b Avesh Khan	,	2	,	7	,	28.57	,	0	,	0
David Miller	,	c Lalit Yadav b Avesh Khan	,	62	,	43	,	144.18	,	7	,	2
Riyan Parag	,	c Shikhar Dhawan b Avesh Khan	,	2	,	5	,	40	,	0	,	0
Rahul Tewatia	,	c Lalit Yadav b Kagiso Rabada	,	19	,	17	,	111.76	,	2	,	0
Chris Morris	,	NOT OUT	,	36	,	18	,	200	,	0	,	4
Jaydev Unadkat	,	NOT OUT	,	11	,	7	,	157.14	,	0	,	1
