Bowler	,	O	,	R	,	W	,	Econ	,	Dots	,		,	
Nitish Rana	,	1	,	5	,	0	,	5	,	4	,	0	,	FALSE
Varun Chakaravarthy	,	4	,	22	,	0	,	5.5	,	9	,	0	,	FALSE
Sunil Narine	,	4	,	20	,	1	,	5	,	10	,	0	,	FALSE
Lockie Ferguson	,	4	,	27	,	2	,	6.75	,	9	,	0	,	FALSE
Prasidh Krishna	,	4	,	43	,	2	,	10.75	,	10	,	0	,	FALSE
Andre Russell	,	3	,	37	,	0	,	12.33	,	4	,	0	,	FALSE
Trent Boult	,	2	,	23	,	0	,	11.5	,	4	,	0	,	FALSE
Adam Milne	,	3	,	29	,	0	,	9.66	,	6	,	0	,	FALSE
Jasprit Bumrah	,	4	,	43	,	3	,	10.75	,	8	,	0	,	FALSE
Krunal Pandya	,	3	,	25	,	0	,	8.33	,	7	,	0	,	FALSE
Rahul Chahar	,	3	,	34	,	0	,	11.33	,	6	,	0	,	FALSE
Rohit Sharma	,	0.1	,	4	,	0	,	24	,	0	,	0	,	FALSE
